,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ICP-USD,0.19868008798632747,4.0
1,XTZ-USD,ETC-USD,0.05944698893052113,13.0
2,XTZ-USD,CELO-USD,1.613008256262931,17.0
3,XTZ-USD,RUNE-USD,0.769472813232429,12.0
4,XTZ-USD,COMP-USD,0.024671628522341258,12.0
5,XTZ-USD,BTC-USD,5.445874869031667e-05,22.0
6,XTZ-USD,DOGE-USD,15.495221087119496,17.0
7,XTZ-USD,MATIC-USD,0.9786772036625623,7.0
8,ICP-USD,ZEC-USD,0.14009261517907948,4.0
9,ICP-USD,ATOM-USD,0.4861226683878089,5.0
10,ICP-USD,ENJ-USD,12.829594786824504,6.0
11,ICP-USD,RUNE-USD,3.8732658949110546,3.0
12,ICP-USD,FIL-USD,0.8739699783177572,9.0
13,ICP-USD,XLM-USD,71.87047407780048,8.0
14,ICP-USD,NEAR-USD,2.710830059909668,2.0
15,ICP-USD,ALGO-USD,24.781907083071015,2.0
16,ICP-USD,ADA-USD,17.266813841567828,3.0
17,ICP-USD,UMA-USD,2.8316950950230617,2.0
18,ICP-USD,DOT-USD,0.9447744684398924,2.0
19,ICP-USD,SOL-USD,0.27677958961251586,4.0
20,ICP-USD,UNI-USD,0.9604275384599421,4.0
21,ICP-USD,ETH-USD,0.003982858292736864,10.0
22,ETC-USD,CELO-USD,27.138743218583365,4.0
23,ETC-USD,FIL-USD,2.918288539625909,11.0
24,ETC-USD,COMP-USD,0.414993938246285,2.0
25,ETC-USD,NEAR-USD,9.057459146390407,6.0
26,ETC-USD,UMA-USD,9.461489402936461,2.0
27,ETC-USD,BTC-USD,0.000916300219910479,9.0
28,ETC-USD,CRV-USD,20.70154404792043,17.0
29,ETC-USD,SOL-USD,0.9248830073158483,4.0
30,ETC-USD,DOGE-USD,260.69338372394463,3.0
31,ETC-USD,MATIC-USD,16.455282164956195,9.0
32,ZEC-USD,ATOM-USD,3.4700237081644727,3.0
33,ZEC-USD,RUNE-USD,27.64572567861178,5.0
34,ZEC-USD,FIL-USD,6.233777957581237,9.0
35,ZEC-USD,UNI-USD,6.855267092043977,3.0
36,ATOM-USD,RUNE-USD,7.966698022743895,3.0
37,ATOM-USD,FIL-USD,1.7960935480746667,11.0
38,ATOM-USD,ALGO-USD,50.967140405889,7.0
39,ATOM-USD,UMA-USD,5.823715672857895,2.0
40,ATOM-USD,SOL-USD,0.5692948179946105,4.0
41,ATOM-USD,AAVE-USD,0.16048790927015338,4.0
42,ATOM-USD,UNI-USD,1.9754867896220079,2.0
43,ATOM-USD,ETH-USD,0.008194390557210851,6.0
44,BCH-USD,CELO-USD,171.07007417987919,4.0
45,BCH-USD,COMP-USD,2.6158763527599254,2.0
46,BCH-USD,UMA-USD,59.63905594380795,2.0
47,BCH-USD,DOGE-USD,1643.2656715085443,3.0
48,BCH-USD,MATIC-USD,103.72145062623619,9.0
49,CELO-USD,FIL-USD,0.10746467416749038,12.0
50,CELO-USD,COMP-USD,0.015289069442456553,4.0
51,CELO-USD,XLM-USD,8.850208693491357,3.0
52,CELO-USD,NEAR-USD,0.3336635183365884,9.0
53,CELO-USD,ALGO-USD,3.0503971004029946,10.0
54,CELO-USD,ADA-USD,2.125657217895471,5.0
55,CELO-USD,UMA-USD,0.3485446781200537,4.0
56,CELO-USD,BTC-USD,3.376117060147897e-05,2.0
57,CELO-USD,DOT-USD,0.11626603817839663,17.0
58,CELO-USD,CRV-USD,0.7625094412515119,16.0
59,CELO-USD,SOL-USD,0.034074108560771484,6.0
60,CELO-USD,DOGE-USD,9.604888001426778,3.0
61,CELO-USD,MATIC-USD,0.6061728244544002,15.0
62,CELO-USD,AVAX-USD,0.04166463039381761,20.0
63,CELO-USD,ETH-USD,0.0004905004708400085,4.0
64,ENJ-USD,RUNE-USD,0.3015396177719241,12.0
65,ENJ-USD,UMA-USD,0.22041428256778595,7.0
66,ENJ-USD,SOL-USD,0.021546968726825027,13.0
67,ENJ-USD,ETH-USD,0.00031003463813064126,20.0
68,RUNE-USD,FIL-USD,0.22548697404906398,9.0
69,RUNE-USD,ALGO-USD,6.3976228436478575,5.0
70,RUNE-USD,UMA-USD,0.7310145282028939,2.0
71,RUNE-USD,AAVE-USD,0.020144644783624596,2.0
72,FIL-USD,COMP-USD,0.14185562223324874,11.0
73,FIL-USD,XLM-USD,82.06867563825128,14.0
74,FIL-USD,NEAR-USD,3.097492372745746,7.0
75,FIL-USD,ADA-USD,19.7246674755941,9.0
76,FIL-USD,UMA-USD,3.23517021646522,5.0
77,FIL-USD,BTC-USD,0.00031307106912053026,14.0
78,FIL-USD,DOT-USD,1.0797095348877592,6.0
79,FIL-USD,CRV-USD,7.083877559660747,5.0
80,FIL-USD,SOL-USD,0.3161540974568398,9.0
81,FIL-USD,AAVE-USD,0.08913763966549008,10.0
82,FIL-USD,UNI-USD,1.097129006633514,9.0
83,FIL-USD,MATIC-USD,5.628074333433374,6.0
84,FIL-USD,AVAX-USD,0.3870778899299972,5.0
85,FIL-USD,ETH-USD,0.004547307569884639,15.0
86,TRX-USD,UMA-USD,0.030120227784677652,6.0
87,COMP-USD,ADA-USD,139.0273984074465,2.0
88,COMP-USD,UMA-USD,22.79788240837421,2.0
89,COMP-USD,BTC-USD,0.0022078534723869478,5.0
90,COMP-USD,CRV-USD,49.883902502822124,13.0
91,COMP-USD,SOL-USD,2.2285475552758474,5.0
